	Avg. Area Number of Bedrooms	Area Population	Price
1	4.09	23086.800502686456	1059033.5578701235
2	3.09	40173.07217364482	1505890.91484695
3	5.13	36882.15939970458	1058987.9878760849
4	3.26	34310.24283090706	1260616.8066294468
5	4.23	26354.109472103148	630943.4893385402
6	4.04	26748.428424689715	1068138.0743935304
7	3.41	60828.24908540716	1502055.8173744078
8	2.42	36516.358972493836	1573936.5644777215
9	2.3	29387.39600281585	798869.5328331633
10	6.1	40149.96574921337	1545154.8126419624
11	4.1	47224.35984022191	1707045.722158058
12	4.49	34343.991885578806	663732.3968963273
13	3.1	39220.36146737246	1042814.0978200927
14	2.27	32326.123139488096	1291331.5184858206
15	4.37	35521.294033173246	1402818.2101658515
16	4.01	23929.524053267953	1306674.6599511993
17	3.12	39717.81357630952	1556786.6001947748
18	4.3	24595.90149782299	528485.2467305964
19	5.12	35719.653052030866	1019425.9367578316
20	5.49	44922.106702293066	1030591.4292116085
